Date,SRC,ID,loan_amnt,int_rate,installment,grade_new,annual_inc,verification_status_new,addr_state,fico_pct_change_new,revol_bal,revol_util,total_pymnt,total_rec_prncp,total_rec_int,last_pymnt_amnt,tot_cur_bal,total_rev_hi_lim,avg_cur_bal,tot_hi_cred_lim,total_bal_ex_mort,total_il_high_credit_limit,loan_status_new
1/1/2016,Fake,12345678,-9,12.12,546.49,1,50000,0,,0,21847,22.8,19673.50647,16425,3248.51,546.35,25839,95800,718,116302,25839,20502,0
9/1/2014,Fake,2.890000002,0,0,0,0,1000,0,TX,0,4964,35.2,6531.14,3285.24,3245.9,433.82,93726,14100,10414,111827,10676,6303,0
1/1/2016,Fake,98987865,18000,15.59,433.82,1,105000,0,TX,0,4964,35.2,6531.14,3285.24,3245.9,433.82,93726,14100,10414,111827,10676,6303,0
1/1/2016,Fake,98987865,18000,15.59,433.82,1,105000,0,TX,0,4964,35.2,6531.14,3285.24,3245.9,433.82,93726,14100,10414,111827,10676,6303,0
9/1/2014,Fake,11223344,0,0,0,0,1000,0,,0,4964,35.2,6531.14,3285.24,3245.9,433.82,93726,14100,10414,111827,10676,6303,0
9/1/2014,Fake,12569833,18000,15.59,433.82,1,105000,0,NA,0,4964,35.2,6531.14,3285.24,3245.9,433.82,93726,14100,10414,111827,10676,6303,0
8/1/2016,BBG,88734821,18000,15.59,433.82,1,105000,0,TX,0,4964,35.2,6531.14,3285.24,3245.9,433.82,93726,14100,10414,111827,10676,6303,0
10/1/2016,BBG,91129834,18000,14.49,423.42,1,95000,1,MA,0,7895,56.4,5913.39,3122.72,2790.67,423.42,280659,14000,28066,301886,33329,37505,0
3/1/2016,S&P,75119498,25000,6.49,766.12,1,120000,1,FL,0,17816,68.5,17079.51,15107.98,1971.53,766.12,39967,26000,4441,53867,39967,23396,0
2/1/2013,Reuters,3350123,16425,12.12,546.49,1,50000,0,LA,0,21847,22.8,19673.50647,16425,3248.51,546.35,25839,95800,718,116302,25839,20502,0
4/1/2013,Fake,4384834,23325,6.03,709.91,1,172000,1,CO,1,4738,45.6,19741.43,11134.71,1641.27,709.91,286027,10400,47671,303599,14863,21999,1
4/1/2017,BBG,104241946,5000,13.49,169.66,1,105000,0,MS,0,56273,87.7,1353.53,944.14,409.39,169.66,422514,64200,22238,475303,73566,24874,0
5/1/2016,S&P,78179907,14000,6.49,429.03,1,51000,0,TX,1,4857,14.9,14884.76405,14000,884.76,3026.69,39374,32500,4922,75967,39374,27622,0
5/1/2015,Reuters,46357902,25000,6.68,768.28,1,90000,1,CA,0,28187,53.2,23807.4,21222.12,2585.28,768.28,28187,53000,4698,53000,28187,0,0
10/1/2014,Fake,30655673,7200,13.98,246.01,1,54000,1,NJ,0,4444,19.7,7532.98,7200,332.98,6808.93,251959,22600,13261,273379,33648,29855,0
3/1/2016,BBG,72163847,7200,9.75,231.48,1,67500,1,TX,0,13846,67.9,8046.41904,7200,846.42,4115.16,234318,20400,18024,296418,58113,70814,0
4/1/2015,S&P,44319669,20000,6.92,616.82,1,160000,1,CA,0,29309,66.5,20343.83,20000,343.83,19117.88,644577,44100,33925,711210,95001,87791,0
8/1/2016,Reuters,85962542,16000,8.99,332.06,1,120000,0,CA,1,18196,24.6,17656.02807,16000,1656.03,13015.18,499957,74100,31247,601230,45539,57827,0
4/1/2015,Fake,44553321,6000,6.39,183.6,1,173000,0,GA,0,44605,64.9,5873.07,5275.52,597.55,183.6,477791,68700,31853,551356,147821,123546,0
6/1/2015,BBG,50637266,12000,12.29,268.7,1,55866,1,NY,0,5715,48,12652.71,12000,652.71,11586.1,34071,11900,6814,52709,34071,40809,0
8/1/2016,S&P,85759372,30000,13.99,697.9,1,80000,1,AL,0,31719,97.9,11143.08,6084.99,5058.09,697.9,283240,32400,20231,308130,117330,104712,0
1/1/2017,Reuters,96474193,26400,13.99,614.15,1,153000,0,NJ,0,21573,82.3,6735.13,3573.55,3161.58,614.15,395715,26200,23277,464235,57242,74535,0
10/1/2015,Fake,61478676,32000,6.89,986.46,1,2.00E+05,1,TX,0,116141,83,25635.71,22439.95,3195.76,986.46,390179,139300,30013,466053,57770,45833,0
3/1/2015,BBG,42914423,18000,15.61,434.01,0,64000,1,WA,0,17490,42.5,22675.58263,18000,4675.58,13142.97,167172,41200,15197,210384,30247,22000,0
9/1/2015,S&P,59190309,15000,13.33,507.8,1,70000,1,FL,0,3261,69.4,13749.48,10672.09,3077.39,507.8,39833,4700,5690,56655,39833,51955,0
4/1/2016,Reuters,75670109,16000,5.32,481.84,1,65000,1,CT,1,2646,9.6,9627.34,8572.72,1054.62,481.84,2646,27700,221,27700,2646,0,0
11/1/2013,Fake,8967852,17500,11.99,581.17,1,40000,1,WI,0,11148,59.3,20921.98396,17500,3421.98,581.03,101927,18800,8494,79173,101927,60373,0
8/1/2014,BBG,25306764,6000,6.49,183.87,1,43057.82,0,MA,0,6241,37.8,6378.15,6000,378.15,3987.84,33012,16500,3668,38000,33012,21500,0
8/1/2017,S&P,117279014,20000,15.05,476.33,1,60480,0,GA,0,18873,39.4,1412.27,685.01,727.26,476.33,193699,50800,14900,240118,64980,56862,0
